sku,description,price,currency,family,status
03129-001,"Second generation of 01672-001 2N AC - BOX PC.
The 2N® Access Commander Box 2.0 is an ultra compact computer with pre-installed 2N® Access Commander – software designed for access control configuration and 2N devices management. It is ready to use, plug and play solution which requires only a power supply and an Ethernet cable to be connected to the computer.",949,USD,Power Supply,active
01371-001,2N Access Unit - RJ45 connector cable,13,USD,Access,active
02137-001,"2N Access Uni 2.0 - RFID 125kHz, second generation with better reading distance/time",499,USD,Access,active
02146-001,"2N Access Unit - RFID 125kHz/13.56MHz NFC, second generation with better reading distance/time, reads PACS ID",639,USD,Access,active
02142-001,"2N Access Unit - RFID 13,56MHz NFC secured (reads PACS ID), second generation with better reading distance/time",569,USD,Access,active
02143-001,"2N Access Uni 2.0 - RFID 13.56MHz, second generation with better reading distance/time",479,USD,Access,active
02262-001,2N Access Unit 2.0 touch keypad,409,USD,Access,active
02263-001,2N Access Unit 2.0 Fingerprint reader,809,USD,Access,active
02909-001,Replacement of 02393-001 with 3m long Ethernet cable,469,USD,Access,active
02910-001,Replacement of 02394-001 with 3m long Ethernet cable,589,USD,Access,active
02911-001,Replacement of 02395-001 with 3m long Ethernet cable,769,USD,Access,active
02912-001,Replacement of 02396-001 with 3m long Ethernet cable,709,USD,Access,active
02940-001,"Flush mounting accessory for 02909-001, 02910-001, 02911-001, and 02912-001",37,USD,Recorder accessories,active
02932-001,"Spacer mounting accessory for 02909-001, 02910-001, 02911-001, and 02912-001",37,USD,Recorder accessories,active
02775-001,"2N AU2.0 READER, Keypad, RFID 125kHz, 13,56Mhz, NFC, secured, PICard",849,USD,Access,active
02774-001,"2N AU2.0, READER, Keyboard, RFID 125kHz, 13,56 Mhz, NFC, PICard",719,USD,Access,active
02773-001,"2N AU2.0 READER, Bluetooth, RFID 125kHz, 13,56Mhz, NFC, secured, PICard",979,USD,Access,active
02772-001,"2N AU 2.0 READER, BLE, RFID 125kHz, 13,56Mhz, NFC, PICard",849,USD,Access,active
02777-001,"2N AU 2.0 READER, BLE, RFID 125kHz, 13,56Mhz, NFC, secured, PICard",1209,USD,Access,active
02776-001,"2N AU 2.0, Keypad, Bluetooth, RFID 125kHz, 13,56Mhz, NFC, PICard",1029,USD,Access,active
03089-001,"Stand-alone QR code access control reader that comes as a 2-module version (one empty module for further expansion) in the nickel colour option.
Compatible with all 2N IP Verso accessory items, including the mounting options and frames.",739,USD,Access,active
01526-001,2N IP Audio Kit – SIP module for embedded installation,409,USD,Audio and power accessories,active
01478-001,2N IP Audio Kit - microphone & speaker set,49,USD,Audio and power accessories,active
01479-001,2N IP Audio Kit - stainless steel backlit button,37,USD,Audio and power accessories,active
02571-001,2N IP Audio Kit - speaker,21,USD,Audio and power accessories,active
02570-001,2N IP Audio Kit - microphone,21,USD,Audio and power accessories,active
01357-001,"2N  IP Base - camera, black frame",889,USD,Cameras,active
01358-001,2N  IP Base - 125kHz RFID card reader,109,USD,Access,active
01359-001,"2N  IP Base - 13.56MHz RFID card reader, reads UID",179,USD,Access,active
01360-001,2N  IP Base - backplate for easier surface installation,73,USD,Access,active
02017-001,2N IP Base double button spare part,28,USD,Access,active
02228-001,2N IP Base - single button spare part,26,USD,Access,active
02362-001,"Spare part - metal fixture for 2N IP Base, 10 pcs",49,USD,Access,active
02402-001,"2N IP Base spare part - antenna cover sealing, 10 pcs",52,USD,Access,active
03361-001,"Second generation of the most durable video intercom with 5MPx camera featuring ARTPEC-8 along with QR code reading, adaptive face zooming and enhanced security features.",1989,USD,Cameras,active
03362-001,"Second generation of the most durable video intercom with 5MPx camera featuring ARTPEC-8 along with QR code reading, adaptive face zooming and enhanced security features.",1999,USD,Cameras,active
03364-001,"Second generation of the most durable video intercom with 5MPx camera featuring ARTPEC-8 along with QR code reading, adaptive face zooming and enhanced security features.",2049,USD,Cameras,active
03367-001,"Second generation of the most durable video intercom with 5MPx camera featuring ARTPEC-8 along with QR code reading, adaptive face zooming and enhanced security features.",1989,USD,Cameras,active
03369-001,"Second generation of the most durable video intercom with 5MPx camera featuring ARTPEC-8 along with QR code reading, adaptive face zooming and enhanced security features.",2079,USD,Cameras,active
03355-001,"Multi-frequency RFID reader with Wiegand interface, compatible with 03364-001 and 03367-001",335,USD,Access,active
