"sku","description","price","currency","family","status"
"TNO-A26081","26MP Network AI Bullet Camera, 28.3mm APS CMOS image sensor, Max. 30fps@26MP, 0.2lux@F4.0 (Color), 55~250mm (4.54x) manual varifocal lens, H.265, H.264, MJPEG codec, WiseStreamⅡ, WiseStreamⅢ (Using AI engine), Installed Video Analytics based on AI [Object detection and classification (Person, Face, Vehicle, License plate), Attribute, BestShot] People counting, Vehicle counting, Queue management, Heatmap; Supported Video Analytics based on AI: Traffic Pack, Factory Pack (no license key required), 2-way audio, Sound detection and classification, TPM2 with FIPS 140-3 level2, Secure boot, Verify firmware forgery, Modular structure for easy installation​, 2x micro SD card (512GB x2), Operating temperature: -40°C~+50°C(-40°F ~ +122°F), Power: HPoE (802.3bt type3, class6)/12VDC, Metal shielded RJ-45, SFP slot, IP66/IP67, IK10, NEMA4X","10873.0","CAD","Software and licensing","active"
"TNB-9000"," 43.3mm full-frame CMOS Image Sensor, Max.15fps@8K, 20fps@24MP, 30fps@15MP, 60fps@4K, Compatible with Canon EF mount Lens, Intelligent video analytics based on AI (Object detection/classification, Attribute, BestShot), HDMI (1080p 30fps) Video Output, H.265/H.264 : Main/High, MJPEG, Single Micro SD slot (Up to 256GB), WiseStreamⅡ support, RJ-45, SFP slot(100/1000Mbps), HPoE(IEEE802.3bt, Class5), 12VDC, AI based analytics","15720.0","CAD","Recorder accessories","active"
"PNM-C32084RQZ-8XE256G-LU","Wisenet P series network vandal outdoor Multi-Directional camera  [WiseAI ON] 4CH x 8MP @ 15FPS / [WiseAI OFF] 4CH x 8MP @ 20FPS, Motorized Varifocal Lens 4.38~9.33mm (FoV H: 112.1°~47.5°, V: 58°~26.6°) with PTRZ function, triple codec H.265/H.264/MJPEG, 120dB WDR; IR viewable length 25m (82ft); Lumeo: Retail, Transportation, Smart Cities, Logistics, Enterprise Security and more ;Wise AI: Analytics events based on AI engine: Classified object type: Person/Face/Vehicle/License plate; Attributes: Vehicle(Type and color: car/bus/truck/motorcycle/bicycle), Person (upper and bottom clothing color), IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), Appear/Disappear, WiseNR Ⅱ(using AI engine), WiseStreamⅢ(Based on AI engine), I/O Box compatibility; TPM with FIPS 140-2 level2, micro SD card 512GB x2, IP66, IK10, NEMA4X, NEMA-TS2(2.2.7), 150MPH Wind load resistant, Operating Temperature: -40°C~+55°C(-40°F~+131°F), HPoE Injector Included, Hard-coated dome bubble, Includes Jetson ORIN NX 8GB with 256GB NVMe SSD Storage, and Lumeo AI Gateway with 4 x Camera Channels 1 Year Enterprise License.","12019.25","CAD","Software and licensing","active"
"PNM-C32084RQZ-8XE4T-W","Wisenet P series network vandal outdoor Multi-Directional camera  [AI ON] 4CH x 8MP @ 15FPS / [AI OFF] 4CH x 8MP @ 20FPS, Motorized Varifocal Lens 4.38~9.33mm (FoV H: 112.1°~47.5°, V: 58°~26.6°) with PTRZ function, triple codec H.265/H.264/MJPEG, 120dB WDR; IR viewable length 25m (82ft), Analytics events based on AI engine: Classified object type: Person/Face/Vehicle/License plate; Attributes: Vehicle(Type and color: car/bus/truck/motorcycle/bicycle), Person (upper and bottom clothing color), IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), Appear/Disappear, WiseNR Ⅱ(using AI engine), WiseStreamⅢ(Based on AI engine), I/O Box compatibility; TPM with FIPS 140-2 level2, micro SD card 512GB x2, IP66, IK10, NEMA4X, NEMA-TS2(2.2.7), 150MPH Wind load resistant, Operating Temperature: -40°C~+55°C(-40°F~+131°F), HPoE Injector Included, Hard-coated dome bubble, Includes Jetson ORIN NX 8GB with 4TB NVMe SSD Storage, Pre-Installed WAVE Server with 1 Pro License, Pre-installed WAVE AI Plugin","12693.9","CAD","Software and licensing","active"
"PNM-C19183RVTP","Wisenet P series network vandal outdoor Multi-Directional camera, 3CH x 5MP @ 30FPS and 4MP PTZ 18x Zoom, 3CH Fix Lens 2.4mm (FoV H: 123°, V: 91°), 120dB WDR; IR viewable length 15m(49ft), Analytics events based on AI engine: Classified object type: Person/Face/Vehicle/License plate; Attributes: Vehicle(type and color: car/bus/truck/motorcycle/bicycle), Person (upper and bottom clothing color), IVA (Virtual line/Area, Enter/Exit, Loitering, Direction, Intrusion), Appear/Disappear; Business Intelligence Based on AI engine: People counting, Vehicle counting, Queue management, Heatmap; WiseNR Ⅱ(using AI engine), WiseStreamⅢ (Based on AI engine), I/O Box compatibility; Secure element (FIPS 140-3 level3), micro SD card 512GB x2, IP66, IK10, NEMA4X, Operating Temperature: -40°C~+55°C(-40°F~+131°F), PoE++ (injector included), Hard-coated dome bubble.","5436.5","CAD","Software and licensing","active"
"PNM-C34404RQPZ","Wisenet P series network vandal outdoor Multi-Directional camera with PTZ, [AI ON] 4CH x 8MP @ 15FPS / [AI OFF] 4CH x 8MP @ 20FPS + PTZ 40x 2MP @ 60FPS, 4CH Remote PTRZ Lens 3.3~5.7mm (FoV H: 109°~56°, V: 55°~31°), triple codec H.265/H.264/MJPEG, 120dB WDR; IR viewable [4CH] length 20m (65ft) / [PTZ] WiseIR 200m (656ft), Analytics events based on AI engine: Object detection [Person/Vehicle (Car/Bus/Truck/Motorcycle/Bicycle)], IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), Appear/Disappear, WiseNR Ⅱ(using AI engine), WiseStreamⅢ(Based on AI engine), I/O Box compatibility; TPM with FIPS 140-2 level2, micro SD card 512GB x2, IP66, IK10, NEMA4X, Operating Temperature: -40°C~+50°C(-40°F~+122°F), HPoE (injector included), Hard-coated dome bubble","9956.0","CAD","Cameras","active"
"PNM-9084QZ1","Wisenet P series network vandal outdoor Multi-sensor Multi-Directional dome camera, (2MP X 4 sensors) 8MP @ 60fps, motorized vari-focal lens 2x (3.0~6.0mm) (107°~56.3°), PTRZ (Pan/Tilt/Rotate/Zoom) remote adjustment, triple codec H.265/H.264/MJPEG with WiseStream II technology, 120dB WDR, defocus detection, built in analytics, true D/N, 4x SD card, hallway view, HLC, defog detection, Bi-Directional Audio,  Alarm I/O 1/1, IP66, IK10, NEMA4X, -40°C ~ +55°C (-40°F ~ +131°F), White, DIS, HPoE Injector included","2882.0","CAD","Power Supply","active"
"PNM-C16083RQZ","Wisenet P series network vandal outdoor Multi-Directional camera [AI ON] 4CH x 4MP @ 30FPS, Motorized Varifocal Lens with PTRZ function 3.2~10.2mm (FoV H: 95°~29°, V: 69°~21°), triple codec H.265/H.264/MJPEG, 120dB WDR; IR viewable length [PoE++ 20m(65.6ft), PoE+ 15m(49ft)], Analytics events based on AI engine: Classified object type: Person/Face/Vehicle/License plate; Attributes: Vehicle(Type and color: car/bus/truck/motorcycle/bicycle), Person (upper and bottom clothing color), IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), Appear/Disappear, WiseNR Ⅱ(using AI engine), WiseStreamⅢ(Based on AI engine), I/O Box compatibility; TPM with FIPS 140-2 level2, micro SD card 512GB x2, IP66, IK10, NEMA4X, Operating Temperature: -40°C~+55°C(-40°F~+131°F), PoE++/PoE+, Hard-coated dome bubble.","4061.0","CAD","Software and licensing","active"
"PNM-C16083RVQ","Wisenet P series network vandal outdoor Multi-Directional camera 4CH x 4MP @ 30FPS, Motorized Varifocal Lens 3.3~5.7mm (FoV H: 100°~53°, V: 54°~30°), triple codec H.265/H.264/MJPEG, 120dB WDR; IR viewable length [PoE+] 15m (49ft) / [HPoE] 20m (65ft), USB port for easy installation, Analytics events based on AI engine: Object detection [Person/Vehicle (Car/Bus/Truck/Motorcycle/Bicycle)], IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), Appear/Disappear, WiseNR Ⅱ(using AI engine), WiseStreamⅢ(Based on AI engine), I/O Box compatibility; TPM with FIPS 140-2 level2, micro SD card 512GB x2, IP66, IK10, NEMA4X, Operating Temperature: -40°C~+55°C(-40°F~+131°F); PoE+ /HPoE, Hard-coated dome bubble","3733.5","CAD","Cameras","active"
"PNM-C16013RVQ","Wisenet P series network vandal outdoor mini Multi-Directional camera 4CH x 4MP @ 15FPS, Fix Lens 3.19mm (FoV H: 97°, V: 54°), triple codec H.265/H.264/MJPEG, 120dB WDR; IR viewable length 20m (65.6ft), USB port for easy installation, Analytics events based on AI engine: Object detection [Person/Vehicle (Car/Bus/Truck/Motorcycle/Bicycle)], IVA (Virtual line/Area, Enter/Exit, Loitering, direction, intrusion), Appear/Disappear, WiseNR Ⅱ(using AI engine), WiseStreamⅢ(Based on AI engine), I/O Box compatibility; TPM with FIPS 140-2 level2, micro SD card 512GB x2, IP66, IK09, NEMA4X, Operating Temperature: -40°C~+55°C(-40°F~+131°F); PoE+ /HPoE, Hard-coated dome bubble","2489.0","CAD","Cameras","active"
