"sku","description","price","currency","family","status"
"WV-X15300-V3L","2MP OUTDOOR VANDAL RESISTANT BULLET CAMERA WITH AI ENGINE (UP TO 9 APPS), H.265/H.264/MJPEG, 2.9-9MM 3.1X MOTORIZED ZOOM LENS, IR LED, IP66, IP67, IK10, FIPS 140-2 LEVEL 3 COMPLIANT","1200.45","CAD","Cameras","active"
"WV-X15301-Z1L","2MP AI OUTDOOR IR BULLET CAMERA (10X ZOOM),4.7 TO 47MM,F1.6 MOTORIZED,10X,IR,H.265/H.264/JPEG,9 AI SLOTS,IK10,IP66/IP67/NEMA 4X,FIPS 140-2 LEVEL3 COMPLIANT,WHITE(I-PRO)","1525.05","CAD","Cameras","active"
"WV-X15302-Z1L","2MP AI OUTDOOR IR BULLET LPR CAMERA (10X ZOOM),4.7 TO 47MM,F1.6 MOTORIZED,10X,IR,H.265/H.264/JPEG,9 AI SLOTS,IK10,IP66/IP67/NEMA 4X,FIPS 140-2 LEVEL3 COMPLIANT,WHITE(I-PRO)","1605.66","CAD","Cameras","active"
"WV-X15500-V3L","5MP OUTDOOR VANDAL RESISTANT BULLET CAMERA WITH AI ENGINE (UP TO 9 APPS), H.265/H.264/MJPEG, 2.9-9MM 3.1X MOTORIZED ZOOM LENS, IR LED, IP66, IP67, IK10, FIPS 140-2 LEVEL 3 COMPLIANT, CLEARSIGHT DOME","1365.28","CAD","Cameras","active"
"WV-X15501-Z1L","5MP AI OUTDOOR IR BULLET CAMERA (10X ZOOM),4.7 TO 47MM,F1.6 MOTORIZED,10X,IR,H.265/H.264/JPEG,9 AI SLOTS,IK10,IP66/IP67/NEMA 4X,FIPS 140-2 LEVEL3 COMPLIANT,WHITE(I-PRO)","1688.09","CAD","Cameras","active"
"WV-X15501-Z3L","5MP AI OUTDOOR IR BULLET CAMERA (30X ZOOM),4.5 TO 135MM,F1.8 MOTORIZED,30X,IR,H.265/H.264/JPEG,9 AI SLOTS,IK10,IP66/IP67/NEMA 4X,FIPS 140-2 LEVEL3 COMPLIANT,WHITE(I-PRO)","2093.33","CAD","Cameras","active"
"WV-X15502-Z1L","5MP AI OUTDOOR IR BULLET LPR CAMERA (10X ZOOM),4.7 TO 47MM,F1.6 MOTORIZED,10X,IR,H.265/H.264/JPEG,9 AI SLOTS,IK10,IP66/IP67/NEMA 4X,FIPS 140-2 LEVEL3 COMPLIANT,WHITE(I-PRO)","1854.12","CAD","Cameras","active"
"WV-X15600-V2L","6MP OUTDOOR VANDAL RESISTANT BULLET CAMERA WITH AI ENGINE (UP TO 9 APPS), H.265/H.264/MJPEG, 4.3-8.6MM 2.0X MOTORIZED ZOOM LENS, IR LED, IP66, IP67, IK10, FIPS 140-2 LEVEL 3 COMPLIANT","1537.78","CAD","Cameras","active"
"WV-X15700-V2L","4K OUTDOOR VANDAL RESISTANT BULLET CAMERA WITH AI ENGINE (UP TO 9 APPS), H.265/H.264/MJPEG, 4.3-8.6MM 2.0X MOTORIZED ZOOM LENS, IR LED, IP66, IP67, IK10, FIPS 140-2 LEVEL 3 COMPLIANT","1712.07","CAD","Cameras","active"
"WV-X15701-Z3L","4K AI OUTDOOR IR BULLET CAMERA (30X ZOOM),4.5 TO 135MM,F1.8 MOTORIZED,30X,IR,H.265/H.264/JPEG,9 AI SLOTS,IK10,IP66/IP67/NEMA 4X,FIPS 140-2 LEVEL3 COMPLIANT,WHITE(I-PRO)","2359.48","CAD","Cameras","active"
"WV-X22300-V3L","2MP INDOOR VANDAL DOME CAMERA WITH AI ENGINE (UP TO 9 APPS), H.265/H.264/MJPEG, 2.9-9.0MM 3.1X MOTORIZED ZOOM LENS, IR LED, IK10, FIPS 140-2 LEVEL 3 COMPLIANT","984.02","CAD","Cameras","active"
"WV-X22500-V3L","5MP INDOOR VANDAL RESISTANT DOME CAMERA WITH AI ENGINE (UP TO 9 APPS), H.265/H.264/MJPEG, 2.9-9MM 3.1X MOTORIZED ZOOM LENS, IR LED, IP66, IK10, FIPS 140-2 LEVEL 3 COMPLIANT","1156.51","CAD","Cameras","active"
"WV-X22600-V2L","6MP INDOOR VANDAL RESISTANT DOME CAMERA WITH AI ENGINE (UP TO 9 APPS), H.265/H.264/MJPEG, 4.3-8.6MM 2.0X MOTORIZED ZOOM LENS, IR LED, IP66, IK10, FIPS 140-2 LEVEL 3 COMPLIANT","1330.8","CAD","Cameras","active"
"WV-X22700-V2L","4K INDOOR VANDAL RESISTANT DOME CAMERA WITH AI ENGINE (UP TO 9 APPS), H.265/H.264/MJPEG, 4.3-8.6MM 2.0X MOTORIZED ZOOM LENS, IR LED, IP66, IK10, FIPS 140-2 LEVEL 3 COMPLIANT","1503.27","CAD","Cameras","active"
